Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Family_Size,Spending_Score
Male,No,22,No,Healthcare,1,4,Low
Female,Yes,38,Yes,Engineer,,3,Average
Female,Yes,67,Yes,Engineer,1,1,Low
Male,Yes,67,Yes,Lawyer,0,2,High
Female,Yes,40,Yes,Entertainment,,6,High
Male,Yes,56,No,Artist,0,2,Average
Male,No,32,Yes,Healthcare,1,3,Low
Female,No,33,Yes,Healthcare,1,3,Low
Female,Yes,61,Yes,Engineer,0,3,Low
Female,Yes,55,Yes,Artist,1,4,Average
Female,No,26,Yes,Engineer,1,3,Low
Male,No,19,No,Healthcare,4,4,Low
Female,No,19,No,Executive,0,,Low
Male,Yes,70,No,Lawyer,,1,Low
Female,Yes,58,No,Doctor,0,1,Low
Female,No,41,No,Healthcare,1,2,Low
Female,No,32,No,Homemaker,9,5,Low
Male,No,31,No,Healthcare,1,6,Low
Male,Yes,58,Yes,Entertainment,1,4,Average
Female,Yes,79,Yes,Artist,0,1,High
Male,Yes,49,Yes,Homemaker,12,1,Low
Female,No,18,No,Healthcare,3,4,Low
Male,Yes,33,Yes,Artist,13,2,Low
Female,No,36,Yes,Artist,5,2,Low
Female,,58,No,Executive,1,3,Average
Male,Yes,56,No,Artist,1,3,Average
Male,No,31,No,Healthcare,9,8,Low
Male,Yes,49,Yes,Artist,1,3,Average
Male,No,35,Yes,Artist,0,1,Low
Female,No,35,No,Artist,5,4,Low
Female,Yes,45,Yes,Artist,0,3,Low
Female,Yes,42,No,Doctor,1,2,Low
Male,No,19,No,Healthcare,1,3,Low
Male,No,26,No,Homemaker,9,,Low
Female,Yes,83,No,Lawyer,1,2,High
Female,No,27,Yes,Healthcare,3,4,Low
Male,No,32,No,Doctor,5,1,Low
Female,Yes,28,No,Healthcare,1,5,Average
Female,Yes,28,Yes,Artist,8,2,Low
Male,Yes,56,Yes,Artist,,2,Average
Female,No,47,Yes,Artist,4,1,Low
Female,No,22,No,Healthcare,0,2,Low
Female,No,27,Yes,Artist,14,3,Low
Female,Yes,49,Yes,Artist,1,2,Low
Male,Yes,40,No,Engineer,8,1,Low
Female,Yes,79,No,Lawyer,,2,High
Male,Yes,41,Yes,Artist,0,4,Average
Female,No,29,Yes,Healthcare,,1,Low
Male,No,19,No,Healthcare,0,4,Low
Female,No,45,Yes,Engineer,1,1,Low
Female,Yes,61,No,Artist,1,2,Average
Female,Yes,36,Yes,Artist,1,2,Average
Male,Yes,40,Yes,Artist,1,1,Low
Female,Yes,57,Yes,Entertainment,0,2,Average
Male,Yes,76,No,Marketing,1,1,Low
Male,Yes,32,Yes,Artist,14,2,Average
Male,No,25,Yes,Healthcare,9,4,Low
Male,No,32,,Doctor,8,2,Low
Female,Yes,45,Yes,Artist,1,3,Average
Male,Yes,72,Yes,Lawyer,1,,Low
Male,Yes,48,Yes,Artist,0,2,Average
Male,Yes,55,Yes,Artist,9,2,Average
Male,Yes,74,Yes,Lawyer,0,3,High
Male,Yes,56,Yes,Lawyer,1,2,High
Male,Yes,59,Yes,Lawyer,7,2,High
Male,No,25,Yes,Entertainment,0,2,Low
Male,Yes,31,Yes,Doctor,0,2,Average
Male,No,27,No,Artist,8,4,Low
Male,Yes,57,Yes,Artist,0,4,Average
Female,Yes,39,Yes,Homemaker,,2,High
Male,Yes,27,Yes,Healthcare,8,2,Low
Female,Yes,51,Yes,Entertainment,8,2,Average
Female,Yes,47,No,Artist,0,5,Average
Female,No,33,No,Healthcare,8,4,Low
Male,Yes,56,Yes,Artist,0,4,Average
Female,No,33,No,Homemaker,0,3,Low
Female,No,36,Yes,Doctor,0,2,Low
Male,Yes,51,No,Artist,4,3,Low
Male,Yes,45,Yes,Engineer,2,2,Average
Female,No,49,Yes,,1,1,Low
Male,No,30,No,Healthcare,0,4,Low
Female,No,26,No,Healthcare,6,3,Low
Male,Yes,63,Yes,Artist,8,1,Low
Male,Yes,35,No,Entertainment,8,4,Average
Female,No,19,No,Marketing,1,3,Low
Male,No,32,No,Healthcare,7,5,Low
Male,Yes,52,Yes,Artist,0,3,Average
Female,Yes,36,Yes,Artist,5,2,Low
Female,No,42,No,Entertainment,7,3,Low
Male,Yes,40,No,Doctor,0,2,Average
Male,No,39,Yes,Entertainment,0,3,Low
Female,Yes,47,Yes,Artist,1,4,Average
Female,Yes,61,Yes,Artist,1,2,High
Male,Yes,32,No,Entertainment,1,2,Low
